Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 17 - 5?,A,Subtracting 5 from 17 leaves 12.,,12,13,11,14,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q1,Multiple Choice,Chapter 4/Subtraction Within 20
What is 19 - 7?,A,Subtracting 7 from 19 leaves 12.,,12,13,11,14,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q2,Multiple Choice,Chapter 4/Subtraction Within 20
What is 15 - 8?,A,Subtracting 8 from 15 leaves 7.,,7,8,6,9,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q3,Multiple Choice,Chapter 4/Subtraction Within 20
What is 14 - 6?,A,Subtracting 6 from 14 leaves 8.,,8,9,7,10,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q4,Multiple Choice,Chapter 4/Subtraction Within 20
What is 13 - 9?,A,Subtracting 9 from 13 leaves 4.,,4,5,3,6,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q5,Multiple Choice,Chapter 4/Subtraction Within 20
What is 16 - 4?,A,Subtracting 4 from 16 leaves 12.,,12,13,11,14,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q6,Multiple Choice,Chapter 4/Subtraction Within 20
What is 12 - 3?,A,Subtracting 3 from 12 leaves 9.,,9,10,8,11,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q7,Multiple Choice,Chapter 4/Subtraction Within 20
What is 11 - 6?,A,Subtracting 6 from 11 leaves 5.,,5,6,4,7,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q8,Multiple Choice,Chapter 4/Subtraction Within 20
What is 18 - 9?,A,Subtracting 9 from 18 leaves 9.,,9,10,8,11,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q9,Multiple Choice,Chapter 4/Subtraction Within 20
Solve: 18 - 6 - 3,A,Subtract each step to get 9.,,9,10,8,11,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q10,Multiple Choice,Chapter 4/Subtraction Within 20
Solve: 20 - 5 - 4,A,Subtract each step to get 11.,,11,12,10,13,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q11,Multiple Choice,Chapter 4/Subtraction Within 20
Solve: 15 - 7 - 2,A,Subtract each step to get 6.,,6,7,5,8,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q12,Multiple Choice,Chapter 4/Subtraction Within 20
Select all differences that equal 8.,"A,B",12 - 4 and 15 - 7 each equal 8; the others do not.,,12 - 4,15 - 7,10 - 2,18 - 10,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q13,Select All That Apply,Chapter 4/Subtraction Within 20
What number makes this true: 14 - __ = 6?,B,14 - 8 = 6 because 14 - 6 would be 8.,,6,8,10,4,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q14,Multiple Choice,Chapter 4/Subtraction Within 20
What is 20 - 11?,A,Taking 11 away from 20 leaves 9.,,9,8,10,11,,,,Chapter 4: Subtraction,Question,Subtraction Within 20 Q15,Multiple Choice,Chapter 4/Subtraction Within 20
