Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
The hour hand points to 3 and the minute hand points to 12. What time is it?,A,When the minute hand is on 12 it is o'clock; with the hour hand at 3 it is 3:00.,,3:00,12:30,6:00,9:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q1,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 7 and the minute hand is on 12. What time does the clock show?,A,Hour hand on 7 with minute hand on 12 is 7:00.,,7:00,12:00,5:00,2:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q2,Multiple Choice,Chapter 8/Reading a Clock to the Hour
"The hour hand is between 9 and 10, but closer to 9, and the minute hand is on 12. What time is it?",A,Minute hand on 12 means o'clock and the hour hand near 9 shows 9:00.,,9:00,10:00,8:00,11:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q3,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 6 and the minute hand points to 12. What time is it?,A,That clock reads 6:00.,,6:00,12:00,3:00,9:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q4,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 12 and the minute hand is on 12. What time is it?,A,Both hands at 12 show 12:00.,,12:00,6:00,3:00,9:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q5,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 1 and the minute hand is on 12. What time is it?,A,Hour hand at 1 means it is 1:00.,,1:00,11:00,5:00,7:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q6,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 4 and the minute hand is on 12. What time does the clock show?,A,Hands show 4:00.,,4:00,2:00,8:00,10:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q7,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 8 and the minute hand is on 12. What time is it?,A,It is 8:00.,,8:00,5:00,2:00,11:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q8,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 10 with the minute hand on 12. What time is shown?,A,10:00 is shown.,,10:00,2:00,7:00,11:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q9,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 5 and the minute hand points to 12. What time is it?,A,Hands show 5:00.,,5:00,3:00,7:00,1:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q10,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand sits on 2 and the minute hand is on 12. What time is it?,A,It is 2:00.,,2:00,4:00,6:00,8:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q11,Multiple Choice,Chapter 8/Reading a Clock to the Hour
The hour hand is on 11 and the minute hand points to 12. What time does the clock show?,A,Hands at 11 and 12 show 11:00.,,11:00,1:00,9:00,7:00,,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q12,Multiple Choice,Chapter 8/Reading a Clock to the Hour
Select each description that shows 7:00.,"A,D",At 7:00 the hour hand is at 7 and minute hand at 12.,,"Hour hand on 7, minute hand on 12","Hour hand on 12, minute hand on 7","Hour hand on 7, minute hand on 1","Hour hand between 7 and 8, minute hand on 12","Hour hand on 5, minute hand on 12",,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q13,Select All That Apply,Chapter 8/Reading a Clock to the Hour
Select each clock that would read 3:00.,"A,C,E",Any clock with the minute hand on 12 and hour hand at 3 shows 3:00.,,"Hour hand on 3, minute hand on 12","Hour hand on 3, minute hand on 6","Hour hand between 2 and 3, minute hand on 12","Hour hand on 9, minute hand on 12","Hour hand on 3, minute hand on 12 and chimes ringing",,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q14,Select All That Apply,Chapter 8/Reading a Clock to the Hour
Select each time that means the minute hand points to 12.,"A,C,D","O'clock times like 6:00, 9:00, and 2:00 have the minute hand at 12.",,6:00,4:30,9:00,2:00,5:30,,,Chapter 8: Time and Daily Routines,Question,Reading a Clock to the Hour Q15,Select All That Apply,Chapter 8/Reading a Clock to the Hour
