Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Count the pencils: ✏️✏️✏️✏️✏️✏️ How many pencils are there?,A,"The set shows 6 pencils, so 6 is the matching number.",,6,5,7,8,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q1,Multiple Choice,Chapter 1/Counting 6-10
How many balloons do you see here: 🎈🎈🎈🎈🎈🎈🎈?,B,"The set shows 7 balloons, so 7 is the matching number.",,6,7,8,9,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q2,Multiple Choice,Chapter 1/Counting 6-10
What number tells how many shells are shown: 🐚🐚🐚🐚🐚🐚🐚🐚?,C,"The set shows 8 shells, so 8 is the matching number.",,9,7,8,10,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q3,Multiple Choice,Chapter 1/Counting 6-10
Count the crayons: 🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️ How many crayons are there?,D,"The set shows 9 crayons, so 9 is the matching number.",,11,8,10,9,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q4,Multiple Choice,Chapter 1/Counting 6-10
How many blocks do you see here: 🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱?,A,"The set shows 10 blocks, so 10 is the matching number.",,10,9,11,12,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q5,Multiple Choice,Chapter 1/Counting 6-10
What number tells how many buttons are shown: 🔘🔘🔘🔘🔘🔘🔘?,B,"The set shows 7 buttons, so 7 is the matching number.",,6,7,8,9,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q6,Multiple Choice,Chapter 1/Counting 6-10
Count the kites: 🪁🪁🪁🪁🪁🪁🪁🪁🪁 How many kites are there?,C,"The set shows 9 kites, so 9 is the matching number.",,10,8,9,11,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q7,Multiple Choice,Chapter 1/Counting 6-10
How many books do you see here: 📕📕📕📕📕📕?,D,"The set shows 6 books, so 6 is the matching number.",,8,5,7,6,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q8,Multiple Choice,Chapter 1/Counting 6-10
What number tells how many drums are shown: 🥁🥁🥁🥁🥁🥁🥁🥁?,A,"The set shows 8 drums, so 8 is the matching number.",,8,7,9,10,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q9,Multiple Choice,Chapter 1/Counting 6-10
Count the stars: ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐ How many stars are there?,B,"The set shows 10 stars, so 10 is the matching number.",,9,10,11,12,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q10,Multiple Choice,Chapter 1/Counting 6-10
How many pencils do you see here: ✏️✏️✏️✏️✏️✏️✏️?,C,"The set shows 7 pencils, so 7 is the matching number.",,8,6,7,9,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q11,Multiple Choice,Chapter 1/Counting 6-10
What number tells how many balloons are shown: 🎈🎈🎈🎈🎈🎈🎈🎈🎈?,D,"The set shows 9 balloons, so 9 is the matching number.",,11,8,10,9,,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q12,Multiple Choice,Chapter 1/Counting 6-10
Select each option that shows exactly 6 shells.,"A,D",Any option with 6 shells is correct; the others show different amounts.,,🐚🐚🐚🐚🐚🐚 (6 shells),🐚🐚🐚🐚🐚🐚🐚 (7 shells),🐚🐚🐚🐚🐚 (5 shells),🐚🐚🐚🐚🐚🐚 (6 shells),🐚🐚🐚🐚🐚🐚🐚🐚 (8 shells),,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q13,Select All That Apply,Chapter 1/Counting 6-10
Select each option that shows exactly 8 crayons.,"A,D",Any option with 8 crayons is correct; the others show different amounts.,,🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️ (8 crayons),🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️ (9 crayons),🖍️🖍️🖍️🖍️🖍️🖍️🖍️ (7 crayons),🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️ (8 crayons),🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️🖍️ (10 crayons),,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q14,Select All That Apply,Chapter 1/Counting 6-10
Select each option that shows exactly 10 blocks.,"A,D",Any option with 10 blocks is correct; the others show different amounts.,,🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱 (10 blocks),11 blocks,🧱🧱🧱🧱🧱🧱🧱🧱🧱 (9 blocks),🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱 (10 blocks),12 blocks,,,Chapter 1: Numbers and Counting,Question,Counting 6-10 Q15,Select All That Apply,Chapter 1/Counting 6-10
