Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Which equation shows the commutative property of multiplication?,A,"The commutative property says you can multiply in any order, as in 3 × 7 = 7 × 3.",,3 × 7 = 7 × 3,(2 × 4) × 5 = 2 × (4 × 5),6 × (5 + 2) = 6 × 5 + 6 × 2,8 × 1 = 8,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q1,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
"Using the associative property, which expression is equivalent to (2 × 5) × 4?",A,"The associative property lets you regroup factors, so (2 × 5) × 4 = 2 × (5 × 4).",,2 × (5 × 4),(2 + 5) × 4,2 × 5 + 4,4 × (2 + 5),,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q2,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Which equation uses the distributive property to show 7 × 8 as a sum of two products?,A,Breaking 8 into two 4s gives 7 × 8 = (7 × 4) + (7 × 4).,,7 × 8 = (7 × 4) + (7 × 4),7 × 8 = (7 + 4) × (7 + 4),7 × 8 = 7 × (8 + 4),7 × 8 = 8 × 7,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q3,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Select all expressions that are equivalent to 8 × (5 + 2).,"A,C",Both distributing and reordering the factors keep the expression equivalent to 8 × (5 + 2).,,8 × 5 + 8 × 2,8 × (5 × 2),(5 + 2) × 8,8 × 5 + 2,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q4,Select All that Apply,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Which property is shown by (9 × 2) × 5 = 9 × (2 × 5)?,B,The associative property allows the grouping of factors to change without changing the product.,,Commutative property,Associative property,Distributive property,Identity property,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q5,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
"If 7 × 8 = 8 × 7, which property explains this?",A,The commutative property says factors can be multiplied in any order.,,Commutative property,Associative property,Distributive property,Zero property,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q6,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Which expression shows distributing 5 across (10 + 4)?,A,5 × 10 + 5 × 4 applies the distributive property to both addends.,,5 × 10 + 5 × 4,5 × 10 × 4,5 + 10 + 4,5 × 14,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q7,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
What is the value of 3 × (4 + 6) using the distributive property?,A,3 × 4 + 3 × 6 = 12 + 18 = 30.,,30,24,32,34,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q8,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Select all equations that demonstrate the associative property of multiplication.,"A,C","Both A and C change the grouping of factors without changing the order, showing the associative property.",,(2 × 3) × 4 = 2 × (3 × 4),5 × 3 = 3 × 5,(6 × 1) × 2 = 6 × (1 × 2),7 × (4 + 2) = 7 × 4 + 7 × 2,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q9,Select All that Apply,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Which property allows you to multiply factors in any order and get the same product?,A,The commutative property states that a × b = b × a.,,Commutative property,Associative property,Distributive property,Identity property,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q10,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
"If you know 4 × 9 = 36, what other fact do you know because of the commutative property?",A,Commutative property gives 9 × 4 = 36 as well.,,9 × 4 = 36,4 × 4 = 16,9 × 9 = 81,9 × 5 = 45,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q11,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
"Using the distributive property, how can you rewrite 7 × 12?",A,Break 12 into 10 + 2 to get 7 × 10 + 7 × 2.,,7 × 10 + 7 × 2,7 × 12 + 2,7 × 10 × 2,7 + 12,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q12,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
What is the product of (3 × 4) × 5?,C,"Multiply 3 × 4 = 12, then 12 × 5 = 60.",,20,40,60,80,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q13,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Select all statements that use the commutative property.,"A,D",Statements A and D switch the order of factors to show the same product.,,6 × 11 = 11 × 6,(2 × 9) × 3 = 2 × (9 × 3),5 × (7 + 3) = 5 × 7 + 5 × 3,4 × 5 = 5 × 4,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q14,Select All that Apply,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
Which property helps you evaluate 5 × (1 × 9) by regrouping as (5 × 1) × 9?,B,The associative property lets you regroup factors without changing the product.,,Commutative property,Associative property,Distributive property,Zero property,,,,Chapter 5: Multiplication & Division Strategies,Assessment Item,Properties of multiplication - Q15,Multiple Choice,"Chapter 5/Properties of multiplication (commutative, associative, distributive)"
