Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"Ella shares 24 apples equally among 6 friends. How many apples does each friend receive?","C","Divide 24 by 6 to find that each friend gets 4 apples.","","2","3","4","6","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Which repeated subtraction sentence represents 20 ÷ 4?","B","Subtracting 4 five times from 20 reaches zero, matching 20 ÷ 4.","","20-4-4-4-4=4","20-4-4-4-4-4=0","20-5-5-5=5","20-2-2-2-2-2-2-2-2-2-2=0","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Select each situation that models division as equal sharing or repeated subtraction.","A;C;D","Options A, C, and D all show dividing a total into equal parts or subtracting equal groups.","","18 marbles split equally among 3 kids","16 stickers kept by one person","12 muffins placed 4 on each tray","25 coins removed 5 at a time until none remain","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Select All That Apply","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"24 cookies are placed onto plates with 3 cookies on each. How many plates are needed?","C","Dividing 24 cookies into groups of 3 gives 8 plates.","","6","7","8","9","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"If you start with 28 crayons and subtract 7 crayons repeatedly until none remain, how many times do you subtract 7?","D","28 ÷ 7 = 4, so four subtractions of 7 reach zero.","","2","3","5","4","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"A teacher shares 30 markers equally among 5 tables. How many markers does each table get?","B","30 ÷ 5 = 6 markers per table.","","5","6","7","8","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Which equation matches taking away 5 repeatedly from 25 until zero?","A","Subtracting five equal groups from 25 relates to 25 ÷ 5 = 5.","","25 ÷ 5 = 5","25 ÷ 5 = 4","25 ÷ 4 = 5","25 ÷ 1 = 5","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"18 seeds are planted equally into 6 pots. How many seeds go in each pot?","B","18 divided into 6 equal groups gives 3 seeds in each pot.","","2","3","4","5","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Which situation can be solved by subtracting groups of 4 repeatedly?","A","Creating teams of 4 from 32 students involves removing equal groups of 4.","","32 students arranged into teams of 4 players","32 students lined up in 8 equal rows","32 students adding 4 new classmates","32 students measured for height","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"16 pencils are shared equally between 2 classes. How many pencils does each class receive?","C","16 ÷ 2 = 8 pencils per class.","","6","7","8","9","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Starting with 18 balloons, you take away 3 at a time. How many times can you subtract 3 before reaching zero?","D","18 ÷ 3 = 6, so six groups of 3 are removed.","","4","5","7","6","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Which expression shows equal sharing of 27 books among 9 shelves?","A","27 ÷ 9 represents dividing 27 books into 9 equal groups.","","27 ÷ 9","9 × 27","27 + 9","27 - 9","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"A baker has 15 buns and packs them equally into bags of 5. How many bags will be filled?","B","15 divided into groups of 5 gives 3 bags.","","2","3","4","5","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Select each repeated subtraction sentence that equals 24 ÷ 6.","A","Only subtracting 6 four times from 24 reaches zero, matching 24 ÷ 6.","","24-6-6-6-6=0","24-6-6-6=6","24-4-4-4-4-4-4=0","24-12-12=0","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Select All That Apply","Chapter 4/Division/Division as equal sharing and repeated subtraction"
"Students string 35 beads equally onto 5 necklaces. How many beads go on each necklace?","D","35 ÷ 5 = 7 beads per necklace.","","5","6","8","7","","","","Chapter 4: Division (Concepts)","Assessment","Division as equal sharing and repeated subtraction","Multiple Choice","Chapter 4/Division/Division as equal sharing and repeated subtraction"
