Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What do you call two equal parts of a whole?,A,Two equal parts are halves.,,Halves,Thirds,Quarters,Eighths,,,,Chapter 11: Fractions (Intro),Question,Halves Q1,Multiple Choice,Chapter 11/Halves
"If you cut an apple into 2 equal pieces, what is each piece?",A,Each piece is a half.,,Half,Quarter,Whole,Third,,,,Chapter 11: Fractions (Intro),Question,Halves Q2,Multiple Choice,Chapter 11/Halves
How many halves make a whole?,A,Two halves make a whole.,,2,3,4,5,,,,Chapter 11: Fractions (Intro),Question,Halves Q3,Multiple Choice,Chapter 11/Halves
"If you shade 1 of 2 equal parts, what fraction is shaded?",A,One of two equal parts is 1/2.,,1/2,1/4,2/2,3/4,,,,Chapter 11: Fractions (Intro),Question,Halves Q4,Multiple Choice,Chapter 11/Halves
"If 1/2 of a pizza is eaten, how much is left?",A,Half remains.,,1/2,1/4,2/2,0,,,,Chapter 11: Fractions (Intro),Question,Halves Q5,Multiple Choice,Chapter 11/Halves
Which symbol shows one half?,A,1/2 represents one half.,,1/2,1/4,2/4,3/4,,,,Chapter 11: Fractions (Intro),Question,Halves Q6,Multiple Choice,Chapter 11/Halves
"If you share a sandwich equally with a friend, how much does each get?",A,Each friend gets half.,,Half,Quarter,Whole,None,,,,Chapter 11: Fractions (Intro),Question,Halves Q7,Multiple Choice,Chapter 11/Halves
"If a rectangle is divided into two equal parts, what is each part called?",A,Two equal parts are halves.,,Half,Third,Quarter,Eighth,,,,Chapter 11: Fractions (Intro),Question,Halves Q8,Multiple Choice,Chapter 11/Halves
"If you shade both halves of a shape, what fraction is shaded?",A,Both halves shaded make 2/2 or the whole.,,2/2,1/2,1/4,3/4,,,,Chapter 11: Fractions (Intro),Question,Halves Q9,Multiple Choice,Chapter 11/Halves
"If you eat one of two equal apple slices, what fraction did you eat?",A,You ate half the apple.,,1/2,1/3,1/4,2/2,,,,Chapter 11: Fractions (Intro),Question,Halves Q10,Multiple Choice,Chapter 11/Halves
Select all shapes that are split into halves.,A,Only two equal parts show halves.,,Two equal parts,Three equal parts,Two different parts,"One large, one small",,,,Chapter 11: Fractions (Intro),Question,Halves Q11,Select All That Apply,Chapter 11/Halves
Select all fractions equal to one half.,"A,B,C","1/2, 2/4, and 3/6 each equal one half.",,1/2,2/4,3/6,4/4,,,,Chapter 11: Fractions (Intro),Question,Halves Q12,Select All That Apply,Chapter 11/Halves
"If a shape is divided into two equal parts and you shade one, what fraction is shaded?",A,One of two equal parts is 1/2.,,1/2,1/4,2/2,3/4,,,,Chapter 11: Fractions (Intro),Question,Halves Q13,Multiple Choice,Chapter 11/Halves
"If you fold a paper in half, how many equal parts does it have?",A,Folding in half makes two equal parts.,,2,3,4,5,,,,Chapter 11: Fractions (Intro),Question,Halves Q14,Multiple Choice,Chapter 11/Halves
"If you have 12 grapes and eat half, how many grapes did you eat?",A,Half of 12 is 6.,,6,4,8,10,,,,Chapter 11: Fractions (Intro),Question,Halves Q15,Multiple Choice,Chapter 11/Halves
