Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"Which fact belongs to the 5, 3, 8 family?",A,"In the fact family, 5 + 3 = 8 is true.",,5 + 3 = 8,8 + 5 = 3,3 - 5 = 8,5 + 8 = 3,,,,Chapter 3: Addition,Question,Addition Fact Family Q1,Multiple Choice,Chapter 3/Addition Fact Families
"Which fact belongs to the 4, 6, 10 family?",A,"In the fact family, 4 + 6 = 10 is true.",,4 + 6 = 10,10 + 4 = 6,6 - 4 = 10,4 + 10 = 6,,,,Chapter 3: Addition,Question,Addition Fact Family Q2,Multiple Choice,Chapter 3/Addition Fact Families
"Which fact belongs to the 7, 2, 9 family?",A,"In the fact family, 7 + 2 = 9 is true.",,7 + 2 = 9,9 + 7 = 2,2 - 7 = 9,7 + 9 = 2,,,,Chapter 3: Addition,Question,Addition Fact Family Q3,Multiple Choice,Chapter 3/Addition Fact Families
"Which fact belongs to the 9, 1, 10 family?",A,"In the fact family, 9 + 1 = 10 is true.",,9 + 1 = 10,10 + 9 = 1,1 - 9 = 10,9 + 10 = 1,,,,Chapter 3: Addition,Question,Addition Fact Family Q4,Multiple Choice,Chapter 3/Addition Fact Families
"Which fact belongs to the 8, 5, 13 family?",A,"In the fact family, 8 + 5 = 13 is true.",,8 + 5 = 13,13 + 8 = 5,5 - 8 = 13,8 + 13 = 5,,,,Chapter 3: Addition,Question,Addition Fact Family Q5,Multiple Choice,Chapter 3/Addition Fact Families
"Select all number sentences in the 4, 5, 9 fact family.","A,B,D","A fact family uses the same three numbers: 4 + 5 = 9, 5 + 4 = 9, and 9 - 4 = 5 fit.",,4 + 5 = 9,5 + 4 = 9,9 + 4 = 5,9 - 4 = 5,,,,Chapter 3: Addition,Question,Addition Fact Family Q6,Select All That Apply,Chapter 3/Addition Fact Families
"Which equation belongs to the 6, 7, 13 fact family?",A,"In the fact family, 6 + 7 = 13 is a true addition sentence.",,6 + 7 = 13,13 + 6 = 7,7 - 6 = 13,6 - 7 = 13,,,,Chapter 3: Addition,Question,Addition Fact Family Q7,Multiple Choice,Chapter 3/Addition Fact Families
"Which number sentence is part of the 2, 8, 10 family?",A,"2 + 8 = 10 uses the numbers 2, 8, and 10 correctly.",,2 + 8 = 10,10 + 2 = 8,8 - 2 = 10,2 - 8 = 10,,,,Chapter 3: Addition,Question,Addition Fact Family Q8,Multiple Choice,Chapter 3/Addition Fact Families
"In the 3, 9, 12 fact family, which subtraction sentence is true?",A,12 - 9 = 3 uses the same family of numbers.,,12 - 9 = 3,12 - 3 = 10,9 - 3 = 12,3 - 12 = 9,,,,Chapter 3: Addition,Question,Addition Fact Family Q9,Multiple Choice,Chapter 3/Addition Fact Families
"Which fact completes the 1, 7, 8 fact family?",A,7 + 1 = 8 is the missing addition fact.,,7 + 1 = 8,8 + 1 = 7,8 - 7 = 1,7 - 1 = 8,,,,Chapter 3: Addition,Question,Addition Fact Family Q10,Multiple Choice,Chapter 3/Addition Fact Families
Which fact family do 9 + 0 = 9 and 9 - 9 = 0 belong to?,A,"Both sentences use the numbers 0, 9, and 9.",,"0, 9, 9","1, 8, 9","4, 5, 9","2, 7, 9",,,,Chapter 3: Addition,Question,Addition Fact Family Q11,Multiple Choice,Chapter 3/Addition Fact Families
"Select all true statements about the 5, 2, 7 fact family.","A,B,D","In the 5, 2, 7 family, the two addition and two subtraction facts are 5 + 2 = 7, 2 + 5 = 7, 7 - 5 = 2, and 7 - 2 = 5.",,5 + 2 = 7,7 - 5 = 2,2 + 5 = 6,7 - 2 = 5,,,,Chapter 3: Addition,Question,Addition Fact Family Q12,Select All That Apply,Chapter 3/Addition Fact Families
"Which fact belongs to the 3, 4, 7 fact family?",A,"3 + 4 = 7 uses the numbers 3, 4, and 7.",,3 + 4 = 7,7 + 4 = 3,4 - 3 = 7,7 + 3 = 10,,,,Chapter 3: Addition,Question,Addition Fact Family Q13,Multiple Choice,Chapter 3/Addition Fact Families
"Select all facts in the 2, 9, 11 fact family.","A,B,C","These addition and subtraction facts use 2, 9, and 11.",,2 + 9 = 11,9 + 2 = 11,11 - 9 = 2,11 + 2 = 13,,,,Chapter 3: Addition,Question,Addition Fact Family Q14,Select All That Apply,Chapter 3/Addition Fact Families
"Which subtraction sentence fits the 4, 1, 5 fact family?",A,"5 - 4 = 1 belongs to the 4, 1, 5 family.",,5 - 4 = 1,5 - 1 = 4,4 - 1 = 5,1 - 5 = 4,,,,Chapter 3: Addition,Question,Addition Fact Family Q15,Multiple Choice,Chapter 3/Addition Fact Families
