Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
You have 5 apples from the basket. You take away 2 apples. How many apples are left?,A,Subtracting 2 from 5 leaves 3 apples.,,3,4,2,5,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q1,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 6 cars in the toy garage. You take away 1 car. How many cars are left?,B,Subtracting 1 from 6 leaves 5 cars.,,6,5,4,7,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q2,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 4 cookies on the plate. You take away 3 cookies. How many cookie are left?,C,Subtracting 3 from 4 leaves 1 cookie.,,0,2,1,3,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q3,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 7 shells by the shore. You take away 2 shells. How many shells are left?,D,Subtracting 2 from 7 leaves 5 shells.,,7,6,4,5,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q4,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 5 books on the shelf. You take away 1 book. How many books are left?,A,Subtracting 1 from 5 leaves 4 books.,,4,5,3,6,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q5,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 8 stickers on the chart. You take away 3 stickers. How many stickers are left?,B,Subtracting 3 from 8 leaves 5 stickers.,,6,5,4,7,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q6,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 6 blocks in the tower. You take away 4 blocks. How many blocks are left?,C,Subtracting 4 from 6 leaves 2 blocks.,,1,3,2,4,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q7,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 7 balloons at the party. You take away 5 balloons. How many balloons are left?,D,Subtracting 5 from 7 leaves 2 balloons.,,4,3,1,2,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q8,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 5 frogs near the pond. You take away 2 frogs. How many frogs are left?,A,Subtracting 2 from 5 leaves 3 frogs.,,3,4,2,5,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q9,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 6 flowers in the vase. You take away 3 flowers. How many flowers are left?,B,Subtracting 3 from 6 leaves 3 flowers.,,4,3,2,5,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q10,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 9 marbles in the jar. You take away 4 marbles. How many marbles are left?,C,Subtracting 4 from 9 leaves 5 marbles.,,4,6,5,7,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q11,Multiple Choice,Chapter 6/Using Objects to Subtract
You have 8 pencils in the cup. You take away 2 pencils. How many pencils are left?,D,Subtracting 2 from 8 leaves 6 pencils.,,8,7,5,6,,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q12,Multiple Choice,Chapter 6/Using Objects to Subtract
Select each story that ends with 3 items left.,"A,B,D",Those subtraction stories leave 3 items.,,5 apples take away 2,6 cars take away 3,4 cookies take away 1,7 shells take away 4,8 stickers take away 5,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q13,Select All That Apply,Chapter 6/Using Objects to Subtract
Select each description that leaves 2 items.,"A,B,C,D",These stories all end with 2 items remaining.,,5 books take away 3,6 flowers take away 4,7 balloons take away 6,4 frogs take away 2,3 cars take away 1,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q14,Select All That Apply,Chapter 6/Using Objects to Subtract
Select each story that leaves more than 4 items.,"A,B,E",Those stories leave more than 4 items after subtracting.,,9 marbles take away 4,6 pencils take away 2,5 cookies take away 2,7 balloons take away 5,8 stickers take away 3,,,Chapter 6: Subtraction Basics,Question,Using Objects to Subtract Q15,Select All That Apply,Chapter 6/Using Objects to Subtract
