Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"Which equation belongs to the fact family for 6 × 3 = 18?","A","Fact families include the related division 18 ÷ 3 = 6.","","18 ÷ 3 = 6","18 ÷ 9 = 2","3 ÷ 6 = 18","18 - 6 = 12","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Using the fact family for 4 × 5 = 20, what is 20 ÷ 5?","C","Because 5 × 4 = 20, dividing 20 by 5 gives 4.","","2","3","4","5","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Select each equation that is part of the fact family for 7, 8, and 56.","A;B;C","The numbers 7, 8, and 56 combine to form two multiplication and two division facts.","","7 × 8 = 56","8 × 7 = 56","56 ÷ 7 = 8","56 ÷ 8 = 6","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Select All That Apply","Chapter 4/Division/Fact families"
"What number completes this fact family equation: 18 ÷ 9 = ?","B","The related division fact shows the other factor, 2.","","1","2","3","9","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Which equation is missing from the fact family: 3 × 4 = 12, 4 × 3 = 12, 12 ÷ 3 = 4, ____?","A","The remaining division fact is 12 ÷ 4 = 3.","","12 ÷ 4 = 3","4 ÷ 12 = 3","12 ÷ 2 = 6","3 ÷ 4 = 12","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Select each equation in the fact family for 8, 9, and 72.","A;B;C","Both multiplication orders and dividing by either factor stay within the family.","","8 × 9 = 72","9 × 8 = 72","72 ÷ 9 = 8","72 ÷ 6 = 12","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Select All That Apply","Chapter 4/Division/Fact families"
"If 11 × 2 = 22, which division fact must also be true?","B","Dividing 22 by 11 gives the other factor, 2.","","22 ÷ 2 = 11","22 ÷ 11 = 2","11 ÷ 2 = 22","22 ÷ 1 = 11","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"What multiplication fact completes the family: 6 × 4 = 24, ___, 24 ÷ 6 = 4, 24 ÷ 4 = 6?","A","The other multiplication order is 4 × 6 = 24.","","4 × 6 = 24","6 × 6 = 36","24 × 4 = 6","24 ÷ 24 = 1","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Select each statement that belongs to the fact family for 3, 5, and 15.","A;B;C","Multiplying 3 and 5 makes 15, and dividing 15 by either factor gives the other.","","3 × 5 = 15","5 × 3 = 15","15 ÷ 5 = 3","15 ÷ 4 = 3","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Select All That Apply","Chapter 4/Division/Fact families"
"Which multiplication equation matches the fact 15 ÷ 5 = 3?","D","Multiplying 5 and 3 gives the dividend 15.","","5 × 5 = 25","3 × 3 = 9","15 × 5 = 3","5 × 3 = 15","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Select each equation in the fact family for 2, 7, and 14.","A;B;C","The family includes both multiplication orders and dividing 14 by either factor.","","2 × 7 = 14","7 × 2 = 14","14 ÷ 7 = 2","7 ÷ 2 = 14","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Select All That Apply","Chapter 4/Division/Fact families"
"Using the fact family for 10 × 3 = 30, what is 30 ÷ 10?","B","The quotient equals the other multiplication factor, 3.","","2","3","4","5","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Which division equation partners with 12 ÷ 6 = 2 in the same fact family?","A","The family also includes 12 ÷ 2 = 6.","","12 ÷ 2 = 6","6 ÷ 2 = 12","12 ÷ 3 = 4","6 ÷ 12 = 2","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Which multiplication fact goes with 18 ÷ 6 = 3?","C","Reversing the division gives the multiplication 6 × 3 = 18.","","3 × 6 = 21","18 × 6 = 3","6 × 3 = 18","18 ÷ 3 = 6","","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Multiple Choice","Chapter 4/Division/Fact families"
"Select each equation that is part of the fact family for 9, 4, and 36.","A;B;C;D","Both multiplication orders and dividing 36 by either factor stay in the family.","","9 × 4 = 36","4 × 9 = 36","36 ÷ 4 = 9","36 ÷ 9 = 4","9 + 4 = 13","","","Chapter 4: Division (Concepts)","Assessment","Fact families (6×3=18, 18÷3=6)","Select All That Apply","Chapter 4/Division/Fact families"
