Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Which 3D shape rolls easily?,A,A sphere rolls because it is round.,,Sphere,Cube,Cylinder,Cone,,,,Chapter 6: Geometry,Question,3D Shapes Q1,Multiple Choice,Chapter 6/3D Shapes
Which shape has flat square faces?,A,A cube has six square faces.,,Cube,Sphere,Cone,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q2,Multiple Choice,Chapter 6/3D Shapes
Which shape has a circular base and a point?,A,A cone has a circular base and a vertex at the top.,,Cone,Cylinder,Sphere,Cube,,,,Chapter 6: Geometry,Question,3D Shapes Q3,Multiple Choice,Chapter 6/3D Shapes
Which shape looks like a can?,A,A can is shaped like a cylinder.,,Cylinder,Cube,Cone,Sphere,,,,Chapter 6: Geometry,Question,3D Shapes Q4,Multiple Choice,Chapter 6/3D Shapes
"Which shape has 6 faces, 8 vertices, and 12 edges?",A,A rectangular prism has those features.,,Rectangular prism,Sphere,Cone,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q5,Multiple Choice,Chapter 6/3D Shapes
Which shape has no edges or vertices?,A,A sphere has no edges or corners.,,Sphere,Cube,Cylinder,Cone,,,,Chapter 6: Geometry,Question,3D Shapes Q6,Multiple Choice,Chapter 6/3D Shapes
Which shape has two circular faces?,A,A cylinder has two circular faces.,,Cylinder,Cone,Cube,Rectangular prism,,,,Chapter 6: Geometry,Question,3D Shapes Q7,Multiple Choice,Chapter 6/3D Shapes
Which shape looks like a box?,A,Boxes are shaped like rectangular prisms.,,Rectangular prism,Sphere,Cone,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q8,Multiple Choice,Chapter 6/3D Shapes
Which shape has a curved surface and a flat circle face?,A,A cone has one curved surface and one circular face.,,Cone,Cube,Sphere,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q9,Multiple Choice,Chapter 6/3D Shapes
Which shape is shaped like a dice?,A,A die is a cube.,,Cube,Sphere,Cone,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q10,Multiple Choice,Chapter 6/3D Shapes
Select all shapes that stack without rolling.,"A,D",Cubes and rectangular prisms have flat faces that stack easily.,,Cube,Sphere,Cylinder,Rectangular prism,,,,Chapter 6: Geometry,Question,3D Shapes Q11,Select All That Apply,Chapter 6/3D Shapes
Which shape looks like an ice cream cone?,A,Ice cream cones are shaped like cones.,,Cone,Sphere,Cylinder,Cube,,,,Chapter 6: Geometry,Question,3D Shapes Q12,Multiple Choice,Chapter 6/3D Shapes
Select all shapes with curved surfaces.,"A,C,D","Spheres, cones, and cylinders each have curved surfaces.",,Sphere,Cube,Cone,Cylinder,,,,Chapter 6: Geometry,Question,3D Shapes Q13,Select All That Apply,Chapter 6/3D Shapes
Which shape has all faces shaped like rectangles?,A,A rectangular prism has rectangular faces.,,Rectangular prism,Cube,Sphere,Cone,,,,Chapter 6: Geometry,Question,3D Shapes Q14,Multiple Choice,Chapter 6/3D Shapes
Which 3D shape matches a basketball?,A,A basketball is a sphere.,,Sphere,Cube,Cylinder,Cone,,,,Chapter 6: Geometry,Question,3D Shapes Q15,Multiple Choice,Chapter 6/3D Shapes
