Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"What is 32 ÷ 8?","B","Since 8 × 4 = 32, the quotient is 4.","","3","4","5","6","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Which multiplication fact helps you solve 45 ÷ 9?","C","9 × 5 = 45, so 45 ÷ 9 = 5.","","5 × 5 = 25","8 × 6 = 48","9 × 5 = 45","9 × 9 = 81","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Select each division fact related to 6 × 7 = 42.","A;B","Dividing 42 by either factor, 6 or 7, gives the other factor.","","42 ÷ 6 = 7","42 ÷ 7 = 6","42 ÷ 8 = 6","7 ÷ 6 = 42","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Select All That Apply","Chapter 4/Division/Division facts (related to multiplication)"
"Complete the fact: 56 ÷ 7 = ?","C","Because 7 × 8 = 56, the quotient is 8.","","6","7","8","9","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Which fact family member matches 9 × 4 = 36?","A","The related division fact is 36 ÷ 4 = 9.","","36 ÷ 4 = 9","9 ÷ 4 = 36","36 ÷ 9 = 2","4 ÷ 9 = 36","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Find the missing number: ___ ÷ 5 = 9.","B","Multiplying 9 × 5 = 45 shows the dividend must be 45.","","14","45","40","9","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Select each equation that is true because 8 × 5 = 40.","A;B","Both 40 ÷ 5 = 8 and 40 ÷ 8 = 5 reverse the multiplication fact.","","40 ÷ 5 = 8","40 ÷ 8 = 5","40 ÷ 4 = 8","5 ÷ 8 = 40","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Select All That Apply","Chapter 4/Division/Division facts (related to multiplication)"
"If 7 × 6 = 42, what is 42 ÷ 6?","D","The quotient is the other factor, 7.","","5","6","8","7","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Which number sentence shows using multiplication to solve 63 ÷ 9?","C","Knowing that 9 × 7 = 63 gives the quotient of 7.","","63 - 9 = 54","9 ÷ 63 = 7","9 × 7 = 63","7 ÷ 9 = 63","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Complete the fact: 72 ÷ 8 = ?","B","8 × 9 = 72, so 72 ÷ 8 = 9.","","6","9","8","12","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Select each division fact that can be solved using 4 × 3 = 12.","A;B","Dividing 12 by either factor, 4 or 3, gives the other factor.","","12 ÷ 4 = 3","12 ÷ 3 = 4","12 ÷ 6 = 2","12 ÷ 2 = 6","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Select All That Apply","Chapter 4/Division/Division facts (related to multiplication)"
"Which multiplication fact matches 54 ÷ 6?","A","Because 6 × 9 = 54, the related multiplication fact is 6 × 9 = 54.","","6 × 9 = 54","7 × 8 = 54","5 × 6 = 54","9 × 4 = 54","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"What is 81 ÷ 9?","C","9 × 9 = 81, so dividing gives 9.","","7","8","9","10","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Find the missing factor: 48 ÷ ? = 6.","B","Because 6 × 8 = 48, the divisor must be 8.","","6","8","4","7","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Multiple Choice","Chapter 4/Division/Division facts (related to multiplication)"
"Select each statement that uses multiplication to check 64 ÷ 8.","A","8 × 8 = 64 confirms the quotient of 8.","","8 × 8 = 64","8 × 9 = 72","64 × 8 = 8","8 × 7 = 56","","","","Chapter 4: Division (Concepts)","Assessment","Division facts (related to multiplication)","Select All That Apply","Chapter 4/Division/Division facts (related to multiplication)"
