Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Use making ten to solve 7 + 6. What is the sum?,A,"Make ten with 7 and 3, then add the rest to get 11.",,11,10,12,9,,,,Chapter 3: Addition,Question,Making Ten Q1,Multiple Choice,Chapter 3/Making Ten
Use making ten to solve 6 + 8. What is the sum?,A,"Make ten with 6 and 4, then add the rest to get 13.",,13,12,14,11,,,,Chapter 3: Addition,Question,Making Ten Q2,Multiple Choice,Chapter 3/Making Ten
Use making ten to solve 8 + 4. What is the sum?,A,"Make ten with 8 and 2, then add the rest to get 12.",,12,11,13,10,,,,Chapter 3: Addition,Question,Making Ten Q3,Multiple Choice,Chapter 3/Making Ten
Use making ten to solve 5 + 10. What is the sum?,A,"Make ten with 5 and 5, then add the rest to get 12.",,12,11,13,10,,,,Chapter 3: Addition,Question,Making Ten Q4,Multiple Choice,Chapter 3/Making Ten
Use making ten to solve 9 + 2. What is the sum?,A,"Make ten with 9 and 1, then add the rest to get 11.",,11,10,12,9,,,,Chapter 3: Addition,Question,Making Ten Q5,Multiple Choice,Chapter 3/Making Ten
Use making ten to solve 4 + 12. What is the sum?,A,"Make ten with 4 and 6, then add the rest to get 14.",,14,13,15,12,,,,Chapter 3: Addition,Question,Making Ten Q6,Multiple Choice,Chapter 3/Making Ten
Which pair makes a ten?,A,7 + 3 = 10.,,7 and 3,6 and 5,8 and 1,4 and 7,,,,Chapter 3: Addition,Question,Making Ten Q7,Multiple Choice,Chapter 3/Making Ten
"To solve 9 + 5, which helper fact makes a ten?",A,"Use 9 + 1 = 10, then add the rest of 5.",,9 + 1,9 + 2,9 + 3,9 + 4,,,,Chapter 3: Addition,Question,Making Ten Q8,Multiple Choice,Chapter 3/Making Ten
Which number combines with 2 to make 10?,A,2 + 8 = 10.,,8,7,6,5,,,,Chapter 3: Addition,Question,Making Ten Q9,Multiple Choice,Chapter 3/Making Ten
Which addition sentence uses making ten?,A,"6 + 4 makes 10, then add the rest.",,"6 + 4 = 10, then 10 + 5 = 15","6 + 2 = 9, then 9 + 5 = 14","4 + 4 = 8, then 8 + 5 = 13","7 + 7 = 14, then 14 + 1 = 15",,,,Chapter 3: Addition,Question,Making Ten Q10,Multiple Choice,Chapter 3/Making Ten
Select all pairs that add to 10.,"A,D",1 + 9 and 8 + 2 both equal 10.,,1 and 9,3 and 6,4 and 6,8 and 2,,,,Chapter 3: Addition,Question,Making Ten Q11,Select All That Apply,Chapter 3/Making Ten
"To solve 7 + 6, which step shows making ten?",A,"Use 7 + 3 to make 10, then add the leftover 3.",,"7 + 3 = 10, then 10 + 3 = 13",7 + 7 = 14,6 + 6 = 12,7 + 2 = 9,,,,Chapter 3: Addition,Question,Making Ten Q12,Multiple Choice,Chapter 3/Making Ten
What is 8 + 7 using making ten?,A,8 needs 2 to make 10. Split 7 into 2 and 5. 10 + 5 = 15.,,15,16,14,17,,,,Chapter 3: Addition,Question,Making Ten Q13,Multiple Choice,Chapter 3/Making Ten
Select all numbers that pair with 9 to make 10.,A,Only 1 added to 9 makes 10.,,1,2,3,4,,,,Chapter 3: Addition,Question,Making Ten Q14,Select All That Apply,Chapter 3/Making Ten
"Using making ten, what is 6 + 8?",A,6 needs 4 to make 10. Split 8 into 4 and 4. 10 + 4 = 14.,,14,13,15,16,,,,Chapter 3: Addition,Question,Making Ten Q15,Multiple Choice,Chapter 3/Making Ten
