Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"Which repeated addition sentence matches 3 × 5?","B","3 groups of 5 add to 15, so 5 + 5 + 5 represents 3 × 5.","","3 + 3 + 3","5 + 5 + 5","3 + 5","5 + 3 + 5","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q1","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"How can 4 × 2 be shown as addition?","C","Four groups of two added give 2 + 2 + 2 + 2.","","4 + 4","2 + 4","2 + 2 + 2 + 2","8 + 2","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q2","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"What repeated addition sentence equals 6 × 1?","A","Six groups of one are added as 1 + 1 + 1 + 1 + 1 + 1.","","1 + 1 + 1 + 1 + 1 + 1","6 + 0","3 + 3","2 + 2 + 2","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q3","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"Select all addition sentences that equal 5 × 3.","B;E","5 groups of 3 total 15, so 3 + 3 + 3 + 3 + 3 and 15 + 0 show the product.","","3 + 5 + 3","3 + 3 + 3 + 3 + 3","5 + 5 + 5","3 + 3 + 6","15 + 0","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q4","Select All","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"Which expression shows 8 added 3 times?","D","8 added three times is 8 + 8 + 8, which equals 3 × 8.","","3 + 8","8 + 3","8 + 8","8 + 8 + 8","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q5","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"If you add 7 four times, what multiplication equation matches?","C","Adding 7 four times equals 4 × 7.","","7 × 4","7 + 4","4 × 7","7 + 7 + 7","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q6","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"Complete: 2 + 2 + 2 + 2 + 2 = ? × 2","A","There are five 2s, so the multiplication sentence is 5 × 2.","","5","2","10","1","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q7","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"How many groups are represented in 9 + 9 + 9 + 9?","B","Each 9 is a group, so there are 4 groups making 4 × 9.","","3 groups","4 groups","9 groups","9 + 9 groups","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q8","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"What multiplication fact matches 0 + 0 + 0 + 0?","A","Adding zero four times equals 4 × 0 = 0.","","4 × 0","0 × 4","0 × 1","1 × 0","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q9","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"Choose the repeated addition for 12 × 2.","C","12 groups of 2 equals 2 repeated 12 times, 2 + 2 + ... (12 terms).","","12 + 12","2 + 12","2 added 12 times","6 + 6 + 6 + 6","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q10","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"If Mia walks 5 blocks each day for 6 days, which addition sentence finds the total blocks?","B","She walks 6 groups of 5 blocks, so 5 + 5 + 5 + 5 + 5 + 5.","","6 + 5","5 + 5 + 5 + 5 + 5 + 5","6 + 6 + 6 + 6 + 6","5 × 6","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q11","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"Select all statements equal to 3 × 4.","A;D","3 × 4 equals 12, so 4 + 4 + 4 and 12 + 0 match.","","4 + 4 + 4","3 + 3 + 4","3 + 3 + 3 + 3","12 + 0","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q12","Select All","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"What multiplication sentence matches 10 + 10?","C","Two tens make 2 × 10.","","10 × 2","10 + 2","2 × 10","20 × 1","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q13","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"A student writes 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1. What multiplication fact is this?","B","Eight ones equals 8 × 1.","","1 × 8","8 × 1","4 × 2","2 × 4","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q14","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
"How is 11 × 3 represented as addition?","D","11 × 3 is 3 added 11 times.","","11 + 11 + 11","3 + 3 + 3","11 + 3","3 added 11 times","","","","Chapter 3: Multiplication (Concepts)","Assessment","Multiplication as Repeated Addition Q15","Multiple Choice","Chapter 3/Multiplication (Concepts)/Multiplication as repeated addition"
