Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"What is the quotient in 20 ÷ 4?","C","Dividing 20 by 4 gives 5.","","3","4","5","6","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Which multiplication fact is related to 20 ÷ 4 = 5?","B","Multiplication and division facts in the same family include 4 × 5 = 20.","","5 × 4 = 25","4 × 5 = 20","20 × 4 = 5","5 × 5 = 20","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Select each statement that describes 20 ÷ 4 = 5.","A;C","Both equal sharing and repeated subtraction explanations are correct.","","20 objects are split into 4 equal groups with 5 in each","20 objects are split into 5 equal groups with 4 in each","Subtracting 4 five times from 20 reaches zero","Multiplying 20 and 4 makes 5","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Select All That Apply","Chapter 4/Division/Example 20 ÷ 4 = 5"
"If 20 cookies are shared among 4 friends equally, how many cookies does each friend receive?","D","Sharing 20 cookies into 4 equal parts gives 5 cookies each.","","2","3","4","5","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"How many groups of 4 are in 20?","A","There are five groups of 4 in 20.","","5","6","4","3","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Which repeated subtraction sentence matches 20 ÷ 4 = 5?","B","Subtracting 4 five times from 20 reaches zero.","","20-4-4-4-4=4","20-4-4-4-4-4=0","20-5-5-5=5","20-2-2-2-2-2-2-2-2-2-2=0","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Select each division equation equivalent to 20 ÷ 4 = 5.","A;B","Both 20 ÷ 5 = 4 and 4 × 5 = 20 use the same numbers in the fact family.","","20 ÷ 5 = 4","4 × 5 = 20","5 ÷ 4 = 20","20 × 4 = 5","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Select All That Apply","Chapter 4/Division/Example 20 ÷ 4 = 5"
"If 20 books are arranged equally on 4 shelves, how many books are on each shelf?","C","Dividing 20 books into 4 equal groups gives 5 books per shelf.","","3","4","5","8","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"In 20 ÷ 4 = 5, what does the divisor 4 represent?","B","The divisor shows the number of equal groups.","","The total number of items","The number of equal groups","The number in each group","The remainder","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Select each description that could model 20 ÷ 4 = 5.","A;C","Both scenarios show 20 items split into equal groups of 4 or 5.","","Twenty stickers arranged into 4 equal rows with 5 stickers each","Twenty pencils placed into 5 boxes with 5 pencils each","Twenty students lined up 4 per row to create 5 rows","Twenty apples grouped into 2 baskets of 10","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Select All That Apply","Chapter 4/Division/Example 20 ÷ 4 = 5"
"If you start at 20 and subtract 4 repeatedly, how many steps does it take to reach zero?","A","Subtracting 4 five times from 20 reaches zero.","","5","4","3","2","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Which equation completes the fact family when you know 20 ÷ 4 = 5 and 4 × 5 = 20?","B","The remaining division fact is 20 ÷ 5 = 4.","","5 × 5 = 20","20 ÷ 5 = 4","5 ÷ 4 = 20","20 - 5 = 15","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"Select each equation that can be used to check that 20 ÷ 4 = 5 is correct.","A;B","Multiplying 5 and 4 or switching the divisor and quotient both confirm the division fact.","","5 × 4 = 20","20 ÷ 5 = 4","4 + 5 = 9","20 - 4 = 16","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Select All That Apply","Chapter 4/Division/Example 20 ÷ 4 = 5"
"If 20 ÷ 4 = 5, what is 5 × 4?","D","Multiplying the quotient and divisor returns the dividend of 20.","","4","5","16","20","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
"How many equal groups of 5 can be made from 20?","B","20 divided by 5 equals 4 groups.","","3","4","5","6","","","","Chapter 4: Division (Concepts)","Assessment","Example: 20 ÷ 4 = 5","Multiple Choice","Chapter 4/Division/Example 20 ÷ 4 = 5"
