Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Which unit is best for measuring the weight of a single apple?,A,"Apples weigh only a few hundred grams, so grams are appropriate.",,Grams,Kilometers,Gallons,Feet,,,,Chapter 8: Measurement,Question,Measuring Weight Q1,Multiple Choice,Chapter 8/Measurement/Measuring weight
A bag of rice weighs 2 kilograms. How many grams is that?,D,"Multiply kilograms by 1,000 to convert to grams: 2 kg = 2,000 g.",,20 grams,200 grams,"1,000 grams","2,000 grams",,,,Chapter 8: Measurement,Question,Measuring Weight Q2,Multiple Choice,Chapter 8/Measurement/Measuring weight
How many ounces are equal to 1 pound?,C,There are 16 ounces in 1 pound.,,8 ounces,12 ounces,16 ounces,24 ounces,,,,Chapter 8: Measurement,Question,Measuring Weight Q3,Multiple Choice,Chapter 8/Measurement/Measuring weight
Which tool would best measure the mass of a rock sample?,B,A balance scale is used to measure mass or weight of objects like rock samples.,,Meter stick,Balance scale,Measuring cup,Thermometer,,,,Chapter 8: Measurement,Question,Measuring Weight Q4,Multiple Choice,Chapter 8/Measurement/Measuring weight
How many ounces are in 3 pounds?,D,Multiply 3 pounds by 16 ounces per pound to get 48 ounces.,,18 ounces,24 ounces,36 ounces,48 ounces,,,,Chapter 8: Measurement,Question,Measuring Weight Q5,Multiple Choice,Chapter 8/Measurement/Measuring weight
Select each measurement that equals 1 kilogram.,"B,E","1 kilogram equals 1,000 grams and also 0.001 metric tons.",,100 grams,"1,000 grams",10 kilograms,100 ounces,0.001 metric tons,1 pound,"2,000 grams",Chapter 8: Measurement,Question,Measuring Weight Q6,Select All That Apply,Chapter 8/Measurement/Measuring weight
A bag of flour weighs 2.5 kilograms. How many grams is that?,C,"Multiply 2.5 kilograms by 1,000 to get 2,500 grams.",,250 grams,"1,500 grams","2,500 grams","25,000 grams",,,,Chapter 8: Measurement,Question,Measuring Weight Q7,Multiple Choice,Chapter 8/Measurement/Measuring weight
Which is heavier: 750 grams or 0.5 kilograms?,A,"0.5 kilograms equals 500 grams, so 750 grams is heavier.",,750 grams,0.5 kilograms,They weigh the same,It cannot be compared,,,,Chapter 8: Measurement,Question,Measuring Weight Q8,Multiple Choice,Chapter 8/Measurement/Measuring weight
A package weighs 1 pound 8 ounces. Another weighs 10 ounces. What is their total weight?,C,"1 pound 8 ounces equals 24 ounces. Add 10 ounces to get 34 ounces, which is 2 pounds 2 ounces.",,1 pound 12 ounces,1 pound 18 ounces,2 pounds 2 ounces,3 pounds 4 ounces,,,,Chapter 8: Measurement,Question,Measuring Weight Q9,Multiple Choice,Chapter 8/Measurement/Measuring weight
Which unit is most reasonable for the weight of a kitten?,B,"A kitten weighs several pounds, so pounds are reasonable.",,Kilograms,Pounds,Tons,Milliliters,,,,Chapter 8: Measurement,Question,Measuring Weight Q10,Multiple Choice,Chapter 8/Measurement/Measuring weight
How many grams are equal to 4.5 kilograms?,D,"Multiply 4.5 kilograms by 1,000 to get 4,500 grams.",,450 grams,"1,450 grams","3,500 grams","4,500 grams",,,,Chapter 8: Measurement,Question,Measuring Weight Q11,Multiple Choice,Chapter 8/Measurement/Measuring weight
Which measurement equals 2 pounds?,A,2 pounds is 32 ounces because 2 × 16 = 32.,,32 ounces,24 ounces,2 kilograms,20 ounces,,,,Chapter 8: Measurement,Question,Measuring Weight Q12,Multiple Choice,Chapter 8/Measurement/Measuring weight
A science lab sample has a mass of 250 grams. How many kilograms is this?,B,"Divide 250 grams by 1,000 to get 0.25 kilograms.",,0.025 kilograms,0.25 kilograms,2.5 kilograms,25 kilograms,,,,Chapter 8: Measurement,Question,Measuring Weight Q13,Multiple Choice,Chapter 8/Measurement/Measuring weight
A package weighs 3.2 kilograms. How many grams heavier is it than a 2.5-kilogram package?,C,"Subtract 2.5 kg from 3.2 kg to get 0.7 kg, which equals 700 grams.",,70 grams,170 grams,700 grams,"7,000 grams",,,,Chapter 8: Measurement,Question,Measuring Weight Q14,Multiple Choice,Chapter 8/Measurement/Measuring weight
Which measurement is closest to the weight of a paperclip?,A,A paperclip weighs about 1 gram.,,1 gram,1 kilogram,1 pound,1 ounce,,,,Chapter 8: Measurement,Question,Measuring Weight Q15,Multiple Choice,Chapter 8/Measurement/Measuring weight
