Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 30 + 20?,A,Add the tens: 30 + 20 = 50.,,50,40,60,30,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q1,Multiple Choice,Chapter 5/Adding Tens
What is 40 + 30?,A,Add the tens: 40 + 30 = 70.,,70,60,80,50,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q2,Multiple Choice,Chapter 5/Adding Tens
What is 10 + 60?,A,Add the tens: 10 + 60 = 70.,,70,60,80,50,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q3,Multiple Choice,Chapter 5/Adding Tens
What is 50 + 40?,A,Add the tens: 50 + 40 = 90.,,90,80,100,70,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q4,Multiple Choice,Chapter 5/Adding Tens
What is 20 + 20?,A,Add the tens: 20 + 20 = 40.,,40,30,50,20,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q5,Multiple Choice,Chapter 5/Adding Tens
What is 60 + 30?,A,Add the tens: 60 + 30 = 90.,,90,80,100,70,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q6,Multiple Choice,Chapter 5/Adding Tens
What is 70 + 10?,A,Add the tens: 70 + 10 = 80.,,80,70,90,60,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q7,Multiple Choice,Chapter 5/Adding Tens
Which equation shows adding tens?,A,Adding tens means both addends are tens.,,30 + 40 = 70,35 + 4 = 39,27 + 10 = 37,16 + 3 = 19,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q8,Multiple Choice,Chapter 5/Adding Tens
Add 20 + 50.,A,20 plus 50 equals 70.,,70,60,80,90,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q9,Multiple Choice,Chapter 5/Adding Tens
Add 80 + 10.,A,80 + 10 = 90.,,90,70,100,95,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q10,Multiple Choice,Chapter 5/Adding Tens
Select all sums that equal 100.,"A,D",60 + 40 and 50 + 50 each equal 100.,,60 + 40,70 + 20,80 + 30,50 + 50,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q11,Select All That Apply,Chapter 5/Adding Tens
What is 90 + 10?,A,Adding another ten to 90 makes 100.,,100,90,110,80,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q12,Multiple Choice,Chapter 5/Adding Tens
Select all equations that add only tens.,"A,C",40 + 20 and 70 + 30 use only tens.,,40 + 20,25 + 10,70 + 30,18 + 12,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q13,Select All That Apply,Chapter 5/Adding Tens
Find the sum: 60 + 20.,A,60 plus 20 equals 80.,,80,70,90,100,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q14,Multiple Choice,Chapter 5/Adding Tens
What is 30 + 50?,A,Adding three tens and five tens equals 80.,,80,70,60,90,,,,Chapter 5: Addition & Subtraction to 100,Question,Adding Tens Q15,Multiple Choice,Chapter 5/Adding Tens
